No_of_Rooms,Unit_Type,Property_Category,Locality,Price_INR,Area_sqft,Furnishing_Status,Has_Pool,Has_Gym,Has_Parking,Has_Lift,Close_to_Hospital,Power_Backup,Kids_Play_Area,Price_per_sqft
3.0,BHK,Flat,Financial District,70000,1990,areaSemi furnished,Yes,Yes,Yes,Yes,No,No,No,35.175879396984925
2.0,BHK,Flat,Financial District,40000,1399,areaSemi furnished,Yes,Yes,Yes,Yes,No,No,No,28.591851322373124
3.0,BHK,Flat,Financial District,55000,1492,areaSemi furnished,Yes,Yes,Yes,Yes,No,No,No,36.86327077747989
4.0,BHK,Flat,Financial District,55000,2644,areaSemi furnished,Yes,Yes,Yes,Yes,No,No,No,20.8018154311649
3.0,BHK,Flat,Gachibowli,60000,1740,areaSemi furnished,Yes,Yes,Yes,Yes,No,No,No,34.48275862068966
3.0,BHK,Flat,Gachibowli,69000,2159,areaSemi furnished,Yes,Yes,Yes,Yes,No,No,No,31.959240389069013
2.0,BHK,Flat,Financial District,45000,990,areaFully furnished,Yes,Yes,Yes,Yes,No,No,No,45.45454545454545
2.0,BHK,Flat,Financial District,56000,1400,areaSemi furnished,Yes,Yes,Yes,Yes,No,No,No,40.0
2.0,BHK,Flat,Gachibowli,35000,1200,areaSemi furnished,No,No,Yes,Yes,No,No,No,29.166666666666668
3.0,BHK,Flat,Shaikpet,50000,2000,areaFully furnished,No,No,Yes,Yes,No,Yes,No,25.0
3.0,BHK,Flat,Masab Tank,40000,1900,areaSemi furnished,No,No,Yes,Yes,No,Yes,No,21.05263157894737
2.0,BHK,Flat,Financial District,57000,1282,areaSemi furnished,Yes,Yes,Yes,Yes,No,No,No,44.46177847113884
2.0,BHK,Flat,Financial District,44000,1273,areaSemi furnished,Yes,Yes,Yes,Yes,No,No,No,34.56402199528672
3.0,BHK,Flat,Narsingi,70000,2255,areaSemi furnished,Yes,Yes,Yes,Yes,No,No,No,31.042128603104214
3.0,BHK,Flat,Financial District,75000,1725,areaSemi furnished,Yes,Yes,Yes,Yes,No,No,No,43.47826086956522
2.0,BHK,Flat,Financial District,42000,850,areaSemi furnished,Yes,Yes,Yes,Yes,No,No,No,49.411764705882355
2.0,BHK,Flat,Khaja Guda,50000,1312,areaSemi furnished,Yes,Yes,Yes,Yes,No,No,No,38.109756097560975
2.0,BHK,Flat,Nallagandla,45000,1264,areaSemi furnished,Yes,No,Yes,Yes,No,Yes,No,35.60126582278481
2.0,BHK,Flat,Serilingampally,46000,1296,areaSemi furnished,Yes,Yes,Yes,Yes,No,No,No,35.49382716049383
3.0,BHK,Flat,Kokapet,55000,1380,areaSemi furnished,Yes,Yes,Yes,Yes,No,No,No,39.85507246376812
1.0,BHK,Flat,Kondapur,15000,623,areaUn-furnished,No,No,No,No,No,No,No,24.077046548956663
3.0,BHK,Flat,Khaja Guda,65000,1700,areaSemi furnished,Yes,Yes,Yes,Yes,No,No,No,38.23529411764706
3.0,BHK,Flat,Kokapet,65000,1760,areaSemi furnished,Yes,Yes,Yes,Yes,No,No,No,36.93181818181818
3.0,BHK,Flat,Kokapet,98000,1550,areaSemi furnished,Yes,Yes,Yes,Yes,No,No,No,63.225806451612904
1.0,BHK,Flat,Kondapur,18000,715,areaSemi furnished,No,No,No,No,No,Yes,No,25.174825174825173
2.0,BHK,Flat,Financial District,60000,1280,areaFully furnished,Yes,Yes,Yes,Yes,No,No,No,46.875
1.0,BHK,Flat,Kondapur,19500,723,areaFully furnished,No,No,Yes,Yes,No,Yes,No,26.970954356846473
1.0,BHK,Flat,Kondapur,17500,634,areaSemi furnished,No,No,Yes,Yes,No,Yes,No,27.602523659305994
2.0,BHK,Flat,Kondapur,28000,1124,areaSemi furnished,No,No,Yes,Yes,No,Yes,No,24.91103202846975
3.0,BHK,Flat,Kondapur,48000,1506,areaSemi furnished,No,No,Yes,Yes,No,Yes,No,31.872509960159363
1.0,BHK,Flat,Kondapur,14500,652,areaUn-furnished,No,No,Yes,Yes,No,Yes,No,22.23926380368098
1.0,BHK,Flat,Kondapur,20000,725,areaSemi furnished,No,No,Yes,Yes,No,No,No,27.586206896551722
1.0,BHK,Flat,Kondapur,25000,756,areaFully furnished,No,No,Yes,Yes,No,Yes,No,33.06878306878307
2.0,BHK,Flat,Kondapur,40000,1156,areaFully furnished,No,No,Yes,Yes,No,Yes,No,34.602076124567475
3.0,BHK,Flat,Kokapet,75000,1495,areaSemi furnished,Yes,Yes,Yes,Yes,No,No,No,50.16722408026756
3.0,BHK,Flat,Kokapet,70000,1226,areaFully furnished,Yes,Yes,Yes,Yes,No,No,No,57.09624796084829
3.0,BHK,Flat,Kokapet,68000,1700,areaSemi furnished,No,No,No,No,No,No,No,40.0
2.0,BHK,Flat,Financial District,56000,1491,areaSemi furnished,Yes,Yes,Yes,Yes,No,No,No,37.55868544600939
2.0,BHK,Flat,Financial District,68000,1491,areaFully furnished,Yes,Yes,Yes,Yes,No,No,No,45.606975184439975
3.0,BHK,Flat,Narsingi,72000,2020,areaSemi furnished,Yes,Yes,Yes,Yes,No,No,No,35.64356435643565
3.0,BHK,Flat,Kokapet,85000,1550,areaSemi furnished,Yes,Yes,Yes,Yes,No,No,No,54.83870967741935
2.5,BHK,Flat,Hafeezpet,35000,1565,areaSemi furnished,Yes,Yes,Yes,Yes,No,No,No,22.364217252396166
2.0,BHK,Flat,Kokapet,55000,928,areaFully furnished,Yes,Yes,Yes,Yes,No,No,No,59.26724137931034
2.0,BHK,Flat,Financial District,68100,1490,areaFully furnished,Yes,Yes,Yes,Yes,No,No,No,45.70469798657718
2.0,BHK,Flat,Financial District,69000,1490,areaFully furnished,Yes,Yes,Yes,Yes,No,No,No,46.308724832214764
3.0,BHK,Flat,Manikonda,52000,1365,areaFully furnished,Yes,Yes,Yes,Yes,No,No,No,38.095238095238095
3.0,BHK,Flat,Hafeezpet,55000,1800,areaFully furnished,Yes,Yes,Yes,Yes,No,No,No,30.555555555555557
3.0,BHK,Flat,Gachibowli,50000,2000,areaSemi furnished,No,No,Yes,Yes,No,Yes,Yes,25.0
3.0,BHK,Flat,Hafeezpet,48000,2245,areaSemi furnished,Yes,Yes,Yes,Yes,No,No,No,21.380846325167038
3.0,BHK,Flat,Manikonda,72500,2500,areaSemi furnished,Yes,Yes,Yes,Yes,No,No,No,29.0
3.0,BHK,Flat,Manikonda,72000,2206,areaFully furnished,Yes,Yes,Yes,Yes,No,No,No,32.638259292837716
3.0,BHK,Flat,Kokapet,80000,2123,areaSemi furnished,Yes,Yes,Yes,Yes,No,No,No,37.68252472915685
2.0,BHK,Flat,Madhapur,33000,1300,areaSemi furnished,No,No,Yes,Yes,No,Yes,No,25.384615384615383
2.0,BHK,Flat,Kondapur,40000,1400,areaFully furnished,Yes,Yes,Yes,Yes,No,No,No,28.571428571428573
2.0,BHK,Flat,Nallagandla,28000,1200,areaSemi furnished,No,No,Yes,Yes,No,No,No,23.333333333333332
2.0,BHK,Flat,Nallagandla,39000,1260,areaSemi furnished,Yes,Yes,Yes,Yes,No,No,No,30.952380952380953
2.0,BHK,Flat,Financial District,53000,1282,areaSemi furnished,Yes,Yes,Yes,Yes,No,No,No,41.34165366614665
4.0,BHK,Flat,Kokapet,100000,2700,areaSemi furnished,Yes,Yes,Yes,Yes,No,No,No,37.03703703703704
2.0,BHK,Flat,Financial District,50000,1282,areaSemi furnished,Yes,Yes,Yes,Yes,No,No,No,39.0015600624025
2.0,BHK,Flat,Madhapur,33000,1200,areaFully furnished,No,No,Yes,Yes,No,Yes,No,27.5
2.0,BHK,Flat,Nallagandla,40000,1240,areaSemi furnished,Yes,Yes,Yes,Yes,No,No,No,32.25806451612903
3.0,BHK,Flat,Nallagandla,56000,1820,areaSemi furnished,Yes,Yes,Yes,Yes,No,No,No,30.76923076923077
2.0,BHK,Flat,Nallagandla,43000,1219,areaFully furnished,No,No,Yes,No,No,No,No,35.27481542247744
3.0,BHK,Flat,Nallagandla,52000,1860,areaSemi furnished,Yes,Yes,Yes,Yes,No,No,No,27.956989247311828
4.0,BHK,Flat,Banjara Hills,150000,2500,areaFully furnished,No,No,Yes,Yes,No,Yes,No,60.0
1.0,RK,Independent,Banjara Hills,30000,400,areaFully furnished,No,Yes,Yes,No,No,Yes,No,75.0
3.0,BHK,Flat,Gopanapalli,57000,1780,areaSemi furnished,Yes,Yes,Yes,Yes,No,No,No,32.02247191011236
3.0,BHK,Flat,Nallagandla,58000,1900,areaSemi furnished,Yes,Yes,Yes,Yes,No,No,No,30.526315789473685
3.0,BHK,Flat,Kokapet,90000,1800,areaFully furnished,No,No,Yes,No,No,No,No,50.0
3.0,BHK,Flat,Shaikpet,45000,2100,areaUn-furnished,No,No,Yes,No,No,No,No,21.428571428571427
2.0,BHK,Flat,Manikonda,35000,1250,areaSemi furnished,No,No,Yes,No,No,Yes,No,28.0
4.0,BHK,Duplex,Nallagandla,60000,2200,areaSemi furnished,No,No,Yes,No,No,No,No,27.272727272727273
3.0,BHK,Flat,Financial District,75000,1992,areaSemi furnished,Yes,Yes,Yes,Yes,No,No,No,37.65060240963855
2.0,BHK,Flat,Financial District,48000,1150,areaSemi furnished,Yes,Yes,Yes,Yes,No,No,No,41.73913043478261
2.0,BHK,Flat,Manikonda,30000,1200,areaSemi furnished,No,No,No,No,No,Yes,No,25.0
2.5,BHK,Flat,Manikonda,60000,1245,areaFully furnished,Yes,Yes,Yes,Yes,No,No,No,48.19277108433735
3.0,BHK,Flat,Kokapet,65000,1905,areaSemi furnished,No,No,Yes,No,No,No,No,34.120734908136484
2.0,BHK,Flat,Financial District,49000,1160,areaSemi furnished,Yes,Yes,Yes,Yes,No,No,No,42.241379310344826
2.0,BHK,Flat,Financial District,50500,1282,areaSemi furnished,Yes,Yes,Yes,Yes,No,No,No,39.39157566302652
3.0,BHK,Flat,Banjara Hills,62000,2450,areaSemi furnished,No,No,Yes,Yes,No,No,No,25.306122448979593
3.0,BHK,Flat,Manikonda,65000,2400,areaSemi furnished,No,No,Yes,Yes,No,Yes,No,27.083333333333332
3.0,BHK,Flat,Gachibowli,70000,1835,areaFully furnished,Yes,Yes,Yes,Yes,No,No,No,38.14713896457766
2.0,BHK,Flat,Financial District,65000,1280,areaFully furnished,Yes,Yes,Yes,Yes,No,No,No,50.78125
3.0,BHK,Flat,Financial District,75000,1430,areaSemi furnished,Yes,Yes,Yes,Yes,No,No,No,52.44755244755245
2.0,BHK,Flat,Kondapur,45000,1300,areaFully furnished,Yes,Yes,Yes,Yes,No,No,No,34.61538461538461
2.0,BHK,Flat,Financial District,55000,1490,areaSemi furnished,Yes,Yes,Yes,Yes,No,No,No,36.91275167785235
3.0,BHK,Flat,Madhapur,40000,2200,areaSemi furnished,No,No,Yes,Yes,No,Yes,No,18.181818181818183
2.0,BHK,Flat,Gachibowli,50000,1274,areaSemi furnished,Yes,Yes,Yes,Yes,No,No,No,39.24646781789639
1.0,RK,Flat,Kondapur,19000,500,areaFully furnished,No,No,Yes,Yes,No,Yes,No,38.0
3.0,BHK,Flat,Narsingi,85000,2000,areaSemi furnished,Yes,Yes,Yes,Yes,No,No,No,42.5
3.0,BHK,Flat,Khaja Guda,60000,2870,areaSemi furnished,Yes,Yes,Yes,Yes,No,No,No,20.905923344947734
3.0,BHK,Flat,Khaja Guda,60000,2635,areaSemi furnished,Yes,Yes,Yes,Yes,No,No,No,22.770398481973434
3.0,BHK,Flat,Kondapur,45000,1800,areaSemi furnished,Yes,Yes,Yes,Yes,No,No,No,25.0
3.0,BHK,Flat,Kokapet,69000,1760,areaSemi furnished,Yes,Yes,Yes,Yes,No,No,No,39.20454545454545
3.0,BHK,Flat,Narsingi,84000,2000,areaSemi furnished,Yes,Yes,Yes,Yes,No,No,No,42.0
3.5,BHK,Flat,Kokapet,75000,2000,areaSemi furnished,No,No,Yes,No,No,No,No,37.5
3.0,BHK,Flat,Kokapet,70000,1763,areaSemi furnished,Yes,Yes,Yes,Yes,No,No,No,39.70504821327283
3.0,BHK,Flat,Kokapet,77500,1872,areaSemi furnished,Yes,Yes,Yes,Yes,No,No,No,41.39957264957265
3.0,BHK,Flat,Kokapet,77000,1870,areaSemi furnished,Yes,Yes,Yes,Yes,No,No,No,41.1764705882353
3.0,BHK,Flat,Financial District,70000,1992,areaSemi furnished,Yes,Yes,Yes,Yes,No,No,No,35.140562248995984
4.0,BHK,Flat,Financial District,130000,2840,areaFully furnished,Yes,Yes,Yes,Yes,No,No,No,45.774647887323944
4.0,BHK,Flat,Financial District,130000,2800,areaFully furnished,Yes,Yes,Yes,Yes,No,No,No,46.42857142857143
4.0,BHK,Flat,Financial District,120000,2840,areaFully furnished,Yes,Yes,Yes,Yes,No,No,No,42.25352112676056
3.5,BHK,Flat,Kokapet,70000,2840,areaSemi furnished,Yes,Yes,Yes,Yes,No,No,No,24.64788732394366
3.0,BHK,Flat,Gachibowli,40000,2040,areaSemi furnished,Yes,No,Yes,Yes,No,Yes,No,19.607843137254903
3.0,BHK,Flat,Kokapet,68000,1800,areaSemi furnished,No,No,Yes,Yes,No,No,No,37.77777777777778
3.0,BHK,Flat,Financial District,65000,1300,areaSemi furnished,No,Yes,Yes,No,No,No,No,50.0
3.0,BHK,Flat,Financial District,65000,2450,areaSemi furnished,Yes,Yes,Yes,Yes,No,No,No,26.53061224489796
2.5,BHK,Flat,Khaja Guda,65000,2450,areaFully furnished,Yes,Yes,Yes,Yes,No,No,No,26.53061224489796
2.5,BHK,Flat,Khaja Guda,65000,1400,areaFully furnished,Yes,Yes,Yes,Yes,No,No,No,46.42857142857143
3.0,BHK,Flat,Kokapet,62000,1400,areaFully furnished,Yes,Yes,Yes,Yes,No,No,No,44.285714285714285
3.0,BHK,Flat,Kokapet,75000,1535,areaSemi furnished,Yes,No,Yes,Yes,No,No,No,48.85993485342019
3.5,BHK,Flat,Kokapet,71000,1700,areaSemi furnished,No,Yes,Yes,No,No,No,No,41.76470588235294
3.0,BHK,Flat,Madhapur,40000,2047,areaSemi furnished,Yes,No,Yes,Yes,No,Yes,No,19.540791402051784
3.0,BHK,Flat,Gopanapalli,58000,1800,areaSemi furnished,No,Yes,Yes,Yes,No,No,No,32.22222222222222
3.0,BHK,Flat,Madhapur,52000,1785,areaFully furnished,Yes,No,Yes,Yes,No,Yes,No,29.131652661064425
3.0,BHK,Flat,Manikonda,45000,1700,areaSemi furnished,No,No,Yes,Yes,No,Yes,No,26.470588235294116
3.0,BHK,Flat,Kokapet,62000,1800,areaFully furnished,No,Yes,Yes,Yes,No,No,No,34.44444444444444
2.0,BHK,Flat,Hafeezpet,38000,1535,areaFully furnished,Yes,No,Yes,Yes,No,Yes,No,24.7557003257329
3.0,BHK,Flat,Kokapet,60000,1200,areaSemi furnished,No,Yes,Yes,Yes,No,No,No,50.0
3.0,BHK,Flat,Kokapet,60500,1835,areaSemi furnished,Yes,Yes,Yes,Yes,No,No,No,32.9700272479564
3.0,BHK,Flat,Manchirevula,45000,1830,areaSemi furnished,Yes,No,Yes,Yes,No,Yes,No,24.59016393442623
3.0,BHK,Flat,Manchirevula,60000,1700,areaSemi furnished,No,No,Yes,Yes,No,Yes,No,35.294117647058826
3.0,BHK,Flat,Manikonda,42000,2500,areaSemi furnished,No,No,Yes,Yes,No,No,No,16.8
2.0,BHK,Flat,Nallagandla,42000,1675,areaFully furnished,No,Yes,Yes,No,No,No,No,25.074626865671643
3.0,BHK,Flat,Puppalaguda,37000,1260,areaSemi furnished,Yes,No,Yes,Yes,No,No,No,29.365079365079364
3.0,BHK,Flat,Manikonda,42500,1700,areaSemi furnished,No,No,Yes,No,No,Yes,No,25.0
3.0,BHK,Flat,Kokapet,74000,1750,areaSemi furnished,No,No,Yes,Yes,No,No,No,42.285714285714285
3.0,BHK,Flat,Narsingi,79000,1900,areaFully furnished,No,Yes,Yes,No,No,No,No,41.578947368421055
3.0,BHK,Flat,Manikonda,45000,1715,areaSemi furnished,Yes,No,Yes,Yes,No,No,No,26.239067055393587
2.0,BHK,Flat,Khaja Guda,50000,2350,areaSemi furnished,No,Yes,Yes,No,No,No,No,21.27659574468085
3.0,BHK,Flat,Manikonda,64000,1313,areaSemi furnished,Yes,No,Yes,Yes,No,No,No,48.743335872048746
2.0,BHK,Flat,Kondapur,35000,2000,areaSemi furnished,No,Yes,Yes,No,No,No,No,17.5
4.0,BHK,Flat,Financial District,149000,4000,areaSemi furnished,Yes,Yes,Yes,Yes,No,No,No,37.25
1.0,BHK,Flat,Hafeezpet,14500,750,areaUn-furnished,No,No,Yes,No,No,No,No,19.333333333333332
3.0,BHK,Flat,Narsingi,72000,2335,areaSemi furnished,Yes,Yes,Yes,Yes,No,No,No,30.83511777301927
3.0,BHK,Flat,Narsingi,71000,2020,areaSemi furnished,Yes,Yes,Yes,Yes,No,No,No,35.148514851485146
3.0,BHK,Flat,Financial District,65000,1840,areaSemi furnished,Yes,Yes,Yes,Yes,No,No,No,35.32608695652174
2.0,BHK,Flat,Madhapur,32000,1250,areaSemi furnished,No,No,Yes,Yes,No,No,No,25.6
1.0,BHK,Flat,Kondapur,24000,630,areaFully furnished,No,No,No,Yes,No,Yes,No,38.095238095238095
2.0,BHK,Flat,Himayath Nagar,26000,1255,areaSemi furnished,No,No,Yes,No,No,No,No,20.717131474103585
2.0,BHK,Flat,Narayanguda,24000,1180,areaSemi furnished,No,No,Yes,No,No,No,No,20.338983050847457
3.0,BHK,Flat,Himayath Nagar,30000,1700,areaSemi furnished,No,No,Yes,No,No,No,No,17.647058823529413
3.0,BHK,Flat,Manikonda,60000,1528,areaSemi furnished,Yes,Yes,Yes,Yes,No,No,No,39.26701570680628
2.0,BHK,Flat,Himayath Nagar,25000,1200,areaSemi furnished,No,No,Yes,No,No,No,No,20.833333333333332
2.0,BHK,Flat,Nallakunta,25000,1200,areaSemi furnished,No,No,Yes,No,No,No,No,20.833333333333332
3.0,BHK,Flat,Kokapet,62000,1750,areaSemi furnished,Yes,Yes,Yes,Yes,No,No,No,35.42857142857143
3.0,BHK,Flat,Himayath Nagar,35000,1850,areaSemi furnished,No,No,Yes,No,No,No,No,18.91891891891892
3.0,BHK,Flat,Narayanguda,40000,1800,areaSemi furnished,No,No,Yes,No,No,No,No,22.22222222222222
2.0,BHK,Flat,Narayanguda,23000,1265,areaSemi furnished,No,No,Yes,No,No,No,No,18.181818181818183
2.0,BHK,Flat,Narayanguda,22000,1155,areaSemi furnished,No,No,Yes,No,No,No,No,19.047619047619047
2.0,BHK,Flat,Nallakunta,25000,1270,areaSemi furnished,No,No,Yes,No,No,No,No,19.68503937007874
2.0,BHK,Flat,Himayath Nagar,24000,1245,areaSemi furnished,No,No,Yes,No,No,No,No,19.27710843373494
3.0,BHK,Flat,Himayath Nagar,32000,1550,areaSemi furnished,No,No,Yes,No,No,No,No,20.64516129032258
3.0,BHK,Flat,Financial District,70005,1990,areaSemi furnished,Yes,Yes,Yes,Yes,No,No,No,35.178391959798994
3.0,BHK,Flat,Manikonda,63200,1900,areaFully furnished,Yes,Yes,Yes,Yes,No,No,No,33.26315789473684
4.0,BHK,Villa,Manchirevula,139000,3000,areaFully furnished,Yes,Yes,Yes,Yes,No,No,No,46.333333333333336
3.0,BHK,Flat,Hafeezpet,46000,1800,areaSemi furnished,Yes,Yes,Yes,Yes,No,No,No,25.555555555555557
3.0,BHK,Flat,Hafeezpet,66000,2800,areaSemi furnished,Yes,Yes,Yes,Yes,No,No,No,23.571428571428573
3.0,BHK,Flat,Hafeezpet,45000,2200,areaSemi furnished,Yes,Yes,Yes,Yes,No,No,No,20.454545454545453
3.0,BHK,Flat,Manikonda,40000,1600,areaSemi furnished,No,No,Yes,No,No,No,No,25.0
3.0,BHK,Flat,Hafeezpet,55000,2800,areaSemi furnished,Yes,Yes,Yes,Yes,No,No,No,19.642857142857142
4.0,BHK,Villa,Manchirevula,55000,2800,areaFully furnished,Yes,Yes,Yes,Yes,No,No,No,19.642857142857142
2.0,BHK,Flat,Manikonda,140000,2800,areaFully furnished,No,No,Yes,No,No,No,No,50.0
1.0,BHK,Flat,Hafeezpet,40000,1200,areaUn-furnished,No,No,No,Yes,No,No,No,33.333333333333336
3.5,BHK,Flat,Kokapet,14000,580,areaSemi furnished,Yes,Yes,Yes,Yes,No,No,No,24.137931034482758
2.0,BHK,Flat,Banjara Hills,64000,2048,areaFully furnished,No,No,No,Yes,No,No,No,31.25
1.0,BHK,Flat,Hafeezpet,33000,1650,areaSemi furnished,No,No,No,Yes,No,No,No,20.0
4.0,BHK,Flat,Financial District,15500,570,areaSemi furnished,Yes,Yes,Yes,Yes,No,No,No,27.19298245614035
1.0,BHK,Flat,Hafeezpet,110000,2713,areaUn-furnished,No,No,No,Yes,No,No,No,40.54552156284556
4.0,BHK,Flat,Financial District,13500,630,areaSemi furnished,Yes,Yes,Yes,Yes,No,No,No,21.428571428571427
2.5,BHK,Flat,Kokapet,110000,2713,areaSemi furnished,Yes,Yes,Yes,Yes,No,No,No,40.54552156284556
4.0,BHK,Flat,Financial District,56005,1492,areaSemi furnished,Yes,Yes,Yes,Yes,No,No,No,37.53686327077748
1.0,BHK,Flat,Hafeezpet,100000,2728,areaFully furnished,No,No,No,Yes,No,No,No,36.65689149560117
1.0,BHK,Flat,Hafeezpet,20000,620,areaSemi furnished,No,No,No,Yes,No,No,No,32.25806451612903
1.0,BHK,Flat,Hafeezpet,17000,620,areaSemi furnished,No,No,No,Yes,No,No,No,27.419354838709676
1.0,BHK,Flat,Hafeezpet,14500,620,areaUn-furnished,No,No,No,Yes,No,No,No,23.387096774193548
1.0,BHK,Flat,Hafeezpet,14000,610,areaUn-furnished,No,No,No,Yes,No,No,No,22.950819672131146
1.0,BHK,Flat,Hafeezpet,13000,560,areaUn-furnished,No,No,No,Yes,No,No,No,23.214285714285715
1.0,BHK,Flat,Hafeezpet,13500,580,areaUn-furnished,No,No,No,Yes,No,No,No,23.275862068965516
1.0,BHK,Flat,Hafeezpet,13800,610,areaSemi furnished,No,No,No,Yes,No,No,No,22.62295081967213
1.0,BHK,Flat,Hafeezpet,17000,610,areaSemi furnished,No,No,No,Yes,No,No,No,27.868852459016395
1.0,BHK,Flat,Hafeezpet,19000,630,areaFully furnished,No,No,No,Yes,No,No,No,30.158730158730158
1.0,BHK,Flat,Hafeezpet,23000,580,areaFully furnished,No,No,No,Yes,No,No,No,39.6551724137931
3.0,BHK,Flat,Borabanda,23500,620,areaSemi furnished,Yes,Yes,Yes,Yes,No,No,No,37.903225806451616
2.0,BHK,Flat,Narayanguda,43000,1350,areaSemi furnished,No,No,Yes,No,No,No,No,31.85185185185185
2.0,BHK,Flat,Nallakunta,23000,1160,areaSemi furnished,No,No,Yes,No,No,No,No,19.82758620689655
2.0,BHK,Flat,Himayath Nagar,18000,1110,areaSemi furnished,No,No,Yes,No,No,No,No,16.216216216216218
3.0,BHK,Flat,Banjara Hills,26000,1220,areaSemi furnished,No,No,Yes,No,No,No,No,21.311475409836067
3.0,BHK,Flat,Banjara Hills,50000,1950,areaSemi furnished,No,Yes,Yes,Yes,No,Yes,No,25.641025641025642
3.0,BHK,Flat,Jubilee Hills,70000,3000,areaSemi furnished,No,Yes,Yes,Yes,No,Yes,No,23.333333333333332
3.0,BHK,Flat,Banjara Hills,70000,2250,areaSemi furnished,No,No,Yes,Yes,No,Yes,No,31.11111111111111
3.0,BHK,Flat,Tellapur,50000,1839,areaSemi furnished,Yes,Yes,Yes,Yes,No,No,No,27.18868950516585
2.0,BHK,Flat,Narayanguda,22500,1155,areaSemi furnished,No,No,Yes,No,No,No,No,19.48051948051948
4.0,BHK,Flat,Gachibowli,130000,3450,areaFully furnished,No,Yes,Yes,Yes,No,Yes,No,37.68115942028985
3.0,BHK,Flat,Miyapur,50000,1570,areaSemi furnished,Yes,Yes,Yes,Yes,No,No,No,31.84713375796178
3.0,BHK,Flat,Financial District,90000,2480,areaFully furnished,Yes,Yes,Yes,Yes,No,No,No,36.29032258064516
4.0,BHK,Flat,Jubilee Hills,300000,5000,areaSemi furnished,Yes,No,Yes,Yes,No,Yes,No,60.0
3.0,BHK,Flat,Rai Durg,180000,2595,areaSemi furnished,No,No,Yes,No,No,No,No,69.36416184971098
2.0,BHK,Flat,Kondapur,25000,750,areaSemi furnished,No,No,Yes,No,No,No,No,33.333333333333336
1.0,BHK,Flat,Kondapur,17000,700,areaSemi furnished,No,No,Yes,Yes,No,No,No,24.285714285714285
1.0,BHK,Flat,Kondapur,19000,750,areaSemi furnished,No,No,Yes,No,No,No,No,25.333333333333332
2.0,BHK,Flat,Kondapur,28000,1150,areaSemi furnished,No,No,Yes,No,No,No,No,24.347826086956523
1.0,BHK,Flat,Kondapur,18000,750,areaSemi furnished,No,No,Yes,No,No,No,No,24.0
1.0,BHK,Flat,Kondapur,16000,750,areaUn-furnished,No,No,No,No,No,No,No,21.333333333333332
2.0,BHK,Flat,Hafeezpet,24000,1143,areaSemi furnished,No,No,Yes,Yes,No,Yes,No,20.99737532808399
1.0,BHK,Flat,Kondapur,14000,721,areaUn-furnished,No,No,Yes,No,No,No,No,19.41747572815534
1.0,BHK,Flat,Kondapur,12000,590,areaUn-furnished,No,No,No,Yes,No,No,No,20.338983050847457
1.0,BHK,Flat,Kondapur,14000,750,areaUn-furnished,No,No,Yes,Yes,No,No,No,18.666666666666668
1.0,BHK,Flat,Kondapur,13500,700,areaUn-furnished,No,No,Yes,No,No,No,No,19.285714285714285
1.0,BHK,Flat,Hafeezpet,20000,700,areaFully furnished,No,No,Yes,No,No,Yes,No,28.571428571428573
1.0,BHK,Flat,Kondapur,18000,750,areaSemi furnished,No,No,No,No,No,No,No,24.0
1.0,BHK,Flat,Kondapur,14000,750,areaUn-furnished,No,No,Yes,No,No,No,No,18.666666666666668
1.0,BHK,Flat,Kondapur,17000,750,areaSemi furnished,No,No,No,No,No,No,No,22.666666666666668
1.0,BHK,Flat,Kondapur,13000,610,areaUn-furnished,No,No,No,Yes,No,No,No,21.311475409836067
1.0,BHK,Flat,Kondapur,25000,700,areaFully furnished,No,No,Yes,No,No,Yes,No,35.714285714285715
2.0,BHK,Flat,Kondapur,25002,1300,areaSemi furnished,No,No,Yes,No,No,No,No,19.232307692307693
1.0,BHK,Flat,Kondapur,15000,700,areaUn-furnished,No,No,Yes,No,No,No,No,21.428571428571427
1.0,RK,Flat,Kondapur,9500,420,areaSemi furnished,No,No,No,Yes,No,No,No,22.61904761904762
1.0,BHK,Flat,Kondapur,16500,590,areaSemi furnished,No,No,No,Yes,No,No,No,27.966101694915253
2.0,BHK,Flat,Kondapur,28000,1143,areaSemi furnished,No,No,Yes,Yes,No,Yes,No,24.496937882764655
2.0,BHK,Flat,Kondapur,26500,1143,areaSemi furnished,No,No,Yes,Yes,No,Yes,No,23.184601924759406
1.0,BHK,Flat,Hafeezpet,16000,750,areaUn-furnished,No,No,No,No,No,No,No,21.333333333333332
1.0,BHK,Flat,Kondapur,21000,720,areaFully furnished,No,No,Yes,No,No,No,No,29.166666666666668
1.0,BHK,Flat,Kondapur,24000,700,areaFully furnished,No,No,Yes,No,No,Yes,No,34.285714285714285
1.0,BHK,Flat,Hafeezpet,24000,720,areaFully furnished,No,No,Yes,No,No,No,No,33.333333333333336
3.0,BHK,Flat,Kondapur,38000,1850,areaSemi furnished,No,No,Yes,No,No,No,No,20.54054054054054
2.0,BHK,Flat,Hafeezpet,30000,1143,areaSemi furnished,No,No,Yes,Yes,No,Yes,No,26.246719160104988
1.0,BHK,Flat,Kondapur,12800,580,areaUn-furnished,No,No,No,Yes,No,No,No,22.06896551724138
2.0,BHK,Flat,Kondapur,25000,1200,areaSemi furnished,No,No,Yes,Yes,No,Yes,No,20.833333333333332
3.0,BHK,Flat,Kondapur,38000,1850,areaSemi furnished,No,No,No,Yes,No,Yes,No,20.54054054054054
