No_of_Rooms,Unit_Type,Property_Category,Locality,Price_INR,Area_sqft,Furnishing_Status,Has_Pool,Has_Gym,Has_Parking,Has_Lift,Close_to_Hospital,Power_Backup,Kids_Play_Area,Price_per_sqft
1.0,BHK,Flat,Kondapur,15333,800,areaSemi furnished,No,No,No,No,No,No,No,19.16625
1.0,BHK,Flat,Kondapur,15511,800,areaSemi furnished,No,No,No,No,No,No,No,19.38875
3.0,BHK,Flat,Narsingi,80000,2335,areaSemi furnished,Yes,Yes,Yes,Yes,No,No,No,34.261241970021416
3.0,BHK,Flat,Narsingi,68000,2020,areaUn-furnished,Yes,Yes,Yes,Yes,No,No,No,33.663366336633665
3.0,BHK,Flat,Narsingi,67000,2020,areaSemi furnished,Yes,Yes,Yes,Yes,No,No,No,33.16831683168317
2.0,BHK,Flat,Kondapur,28000,1150,areaSemi furnished,No,No,No,No,Yes,No,No,24.347826086956523
3.0,BHK,Flat,Narsingi,64000,1715,areaSemi furnished,Yes,Yes,Yes,Yes,No,No,No,37.31778425655977
2.0,BHK,Flat,Kondapur,25000,1100,areaUn-furnished,No,No,No,No,Yes,No,No,22.727272727272727
3.0,BHK,Flat,Madhapur,60000,1600,areaFully furnished,Yes,Yes,Yes,Yes,No,No,No,37.5
1.0,BHK,Flat,Kondapur,18000,794,areaSemi furnished,No,No,No,No,Yes,No,No,22.670025188916878
2.0,BHK,Flat,Kondapur,42000,1200,areaSemi furnished,Yes,Yes,Yes,Yes,No,No,No,35.0
2.0,BHK,Penthouse,Manikonda,45000,1300,areaFully furnished,No,No,Yes,No,No,No,No,34.61538461538461
2.0,BHK,Flat,Kondapur,23000,795,areaUn-furnished,No,No,No,No,Yes,No,No,28.930817610062892
1.0,RK,Flat,Kondapur,18500,518,areaFully furnished,No,No,No,No,No,No,No,35.714285714285715
1.0,BHK,Flat,Kondapur,15000,792,areaUn-furnished,No,No,No,No,Yes,No,No,18.939393939393938
1.0,RK,Flat,Kondapur,11500,400,areaSemi furnished,No,No,No,Yes,No,No,No,28.75
3.0,BHK,Flat,Kokapet,73000,2560,areaSemi furnished,Yes,Yes,Yes,Yes,No,No,No,28.515625
3.0,BHK,Flat,Manikonda,41000,1850,areaSemi furnished,No,No,Yes,Yes,No,Yes,No,22.16216216216216
1.0,BHK,Flat,Kondapur,12800,563,areaUn-furnished,No,No,No,No,Yes,No,No,22.735346358792185
3.0,BHK,Flat,Puppalaguda,41000,1850,areaSemi furnished,No,Yes,Yes,Yes,No,Yes,No,22.16216216216216
1.0,BHK,Flat,Shilpa Hills,23000,785,areaFully furnished,No,No,No,No,Yes,No,No,29.29936305732484
3.0,BHK,Flat,Financial District,65000,2425,areaSemi furnished,Yes,Yes,Yes,Yes,No,No,No,26.804123711340207
3.0,BHK,Flat,Shaikpet,180000,2800,areaSemi furnished,Yes,Yes,Yes,Yes,No,No,No,64.28571428571429
5.0,BHK,Villa,Velimela,115000,4022,areaSemi furnished,Yes,No,No,No,No,No,No,28.592739930382894
3.0,BHK,Flat,Gachibowli,73000,1838,areaFully furnished,No,No,Yes,No,No,No,No,39.7170837867247
2.0,BHK,Flat,Kondapur,42000,1235,areaSemi furnished,Yes,Yes,Yes,Yes,No,No,No,34.008097165991906
2.0,BHK,Flat,Puppalaguda,22000,1200,areaUn-furnished,No,No,Yes,Yes,No,No,No,18.333333333333332
1.0,BHK,Flat,Kondapur,22000,600,areaSemi furnished,No,No,No,No,Yes,No,No,36.666666666666664
3.0,BHK,Flat,Nallagandla,45000,2250,areaSemi furnished,Yes,Yes,Yes,Yes,No,No,No,20.0
2.0,BHK,Flat,Miyapur,30011,1500,areaSemi furnished,Yes,Yes,Yes,Yes,No,No,No,20.00733333333333
3.0,BHK,Flat,Manikonda,40000,1850,areaSemi furnished,No,No,Yes,Yes,No,Yes,No,21.62162162162162
1.0,BHK,Flat,Kondapur,17055,800,areaSemi furnished,No,No,No,No,No,No,No,21.31875
3.0,BHK,Flat,Kondapur,60000,2000,areaSemi furnished,Yes,Yes,Yes,Yes,No,No,No,30.0
3.0,BHK,Flat,Narsingi,75000,1715,areaSemi furnished,Yes,Yes,Yes,Yes,No,No,No,43.731778425655975
2.0,BHK,Flat,Tellapur,45000,1253,areaFully furnished,Yes,Yes,Yes,Yes,No,No,No,35.91380686352753
3.0,BHK,Flat,Kokapet,60000,2381,areaSemi furnished,Yes,Yes,Yes,Yes,No,No,No,25.1994960100798
3.0,BHK,Flat,Tellapur,45000,1980,areaSemi furnished,No,Yes,Yes,Yes,No,Yes,No,22.727272727272727
3.0,BHK,Flat,Madhapur,45000,2000,areaSemi furnished,No,No,Yes,No,No,Yes,No,22.5
3.0,BHK,Flat,Kokapet,65012,2125,areaSemi furnished,Yes,Yes,Yes,Yes,No,No,No,30.593882352941176
5.0,BHK,Villa,Velimela,115000,4030,areaSemi furnished,No,Yes,No,No,No,Yes,No,28.535980148883375
5.0,BHK,Villa,Velimela,85000,3400,areaSemi furnished,No,No,No,No,No,No,No,25.0
2.0,BHK,Flat,Kondapur,25000,1150,areaSemi furnished,No,No,No,No,Yes,No,No,21.73913043478261
1.0,BHK,Flat,Hafeezpet,18000,800,areaSemi furnished,No,No,No,No,No,No,No,22.5
4.0,BHK,Flat,Kokapet,350012,7916,areaSemi furnished,Yes,Yes,Yes,Yes,No,No,No,44.21576553815058
2.0,BHK,Flat,Miyapur,45012,1563,areaSemi furnished,Yes,Yes,Yes,Yes,No,No,No,28.798464491362765
1.0,BHK,Flat,Madhapur,32000,800,areaFully furnished,No,No,Yes,No,No,No,No,40.0
3.0,BHK,Flat,Gachibowli,75000,1920,areaSemi furnished,Yes,Yes,Yes,Yes,No,No,No,39.0625
2.5,BHK,Flat,Puppalaguda,22000,1450,areaSemi furnished,No,No,Yes,Yes,No,No,No,15.172413793103448
2.0,BHK,Flat,Himayath Nagar,25000,1400,areaSemi furnished,No,No,Yes,Yes,No,Yes,No,17.857142857142858
2.5,BHK,Flat,Peeramcheru,40012,1813,areaSemi furnished,Yes,Yes,Yes,Yes,No,No,No,22.06949806949807
1.0,BHK,Flat,Serilingampally,24000,775,areaFully furnished,No,No,No,No,No,No,No,30.967741935483872
3.0,BHK,Flat,Kondapur,75000,3231,areaFully furnished,Yes,Yes,Yes,Yes,No,No,No,23.212627669452182
3.0,BHK,Flat,Ramachandra Puram,45012,2294,areaFully furnished,Yes,Yes,Yes,Yes,No,No,No,19.62162162162162
3.0,BHK,Flat,Gachibowli,72000,1960,areaSemi furnished,Yes,Yes,Yes,Yes,No,No,No,36.734693877551024
